OBJECTID,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,POP_DENSITY,B25010_001E,B25010_001M,B11007_003E,B11007_003M,POP65PCT_CALC,POP65PCTM_CALC,DP04_0058E,DP04_0058M,DP04_0058PE,DP04_0058PM,B25044_003E,B25044_003M,B25044_010E,B25044_010M,B25044_004E,B25044_004M,B25044_011E,B25044_011M,DP04_0059E,DP04_0059M,B25044_005E,B25044_005M,B25044_012E,B25044_012M,DP04_0060E,DP04_0060M,B25044_006E,B25044_006M,B25044_013E,B25044_013M,HOUSE3VEHICLE_CALC,HOUSE3VEHICLE_CALCM,B25044_007E,B25044_007M,B25044_014E,B25044_014M,HOUSE4VEHICLE_CALC,HOUSE4VEHICLE_CALCM,B25044_008E,B25044_008M,B25044_015E,B25044_015M,HOUSE5VEHICLE_CALC,HOUSE5VEHICLE_CALCM,DP02_0001E,DP02_0001M,DP02_0007E,DP02_0007M,DP02_0011E,DP02_0011M,DP02_0004E,DP02_0004M,DP02_0015E,DP02_0015M,DP02_0007PM,DP02_0011PM,DP02_0007PE,DP02_0011PE,SHAPE_Length,SHAPE_Area
1,01,01779775,0400000US01,01,AL,Alabama,00,131174192284,4593183334,37.1738519223555,2.55,0,218058,2997,11.7,0.2,113960,2522,6.1,0.1,36927,1326,77033,2072,315014,3703,284465,3738,599479,4792,521776,4773,165440,3291,687216,4734,268170,3261,42283,1614,310453,3639,99435,1999,10467,814,109902,2158,43426,1525,3457,420,46883,1582,1867893,5799,21350,1103,119948,2621,78846,1841,565454,2531,0.1,0.1,1.1,6.4,18.985613862584,12.8918664924947
2,02,01785533,0400000US02,02,AK,Alaska,00,1478927050067,245394222619,0.498380227724287,2.8,0,19684,850,7.8,0.3,24413,828,9.6,0.3,10007,446,14406,719,37272,1003,38779,1349,76051,1405,66796,1453,28666,1120,95462,1668,31907,1087,6380,486,38287,1191,11351,683,1344,292,12695,743,5663,446,775,243,6438,508,253346,1463,5114,459,11752,754,19864,884,57894,669,0.2,0.3,2,4.6,566.659984070257,282.010908824114
3,04,01779777,0400000US04,04,AZ,Arizona,00,294360282618,859561204,23.9512577488227,2.68,0,285718,3579,11.1,0.1,158539,2464,6.2,0.1,41829,1168,116710,2464,489872,4624,423198,4805,913070,5801,698775,5981,277037,3688,975812,6475,289611,4015,71674,2046,361285,4506,97000,2288,18705,905,115705,2460,39669,1314,7188,680,46857,1480,2571268,6669,37798,1340,129340,2530,186529,3378,826799,2994,0.1,0.1,1.5,5,23.8419076475496,28.9192200324067
4,05,00068085,0400000US05,05,AR,Arkansas,00,134776580080,2956395922,22.2543857265086,2.52,0,135370,2293,11.7,0.2,73723,2004,6.4,0.2,18866,876,54857,1748,189078,2668,193941,2506,383019,3273,329946,3537,113090,2362,443036,4160,151513,2827,28382,1488,179895,3195,50324,1570,6355,596,56679,1679,19728,1009,1991,357,21719,1070,1158071,4555,15912,851,71290,1926,62284,2091,348228,2151,0.1,0.2,1.4,6.2,21.8590555111028,13.5854485313068
5,06,01779778,0400000US06,06,CA,California,00,403660088482,20305454540,97.3182589037453,2.95,0,1240288,8580,9.5,0.1,927957,6639,7.1,0.1,185955,3045,742002,6266,1574432,9689,2393697,12320,3968129,13640,2917358,17659,1934390,10445,4851748,16593,1541221,13020,572246,6706,2113467,14646,628778,6240,176753,3383,805531,7098,306836,3757,70598,1950,377434,4233,13044266,20333,171733,3524,631664,6030,874868,6012,3803822,9028,0.1,0.1,1.3,4.8,44.117752191612,41.6682732257058
6,08,01779779,0400000US08,08,CO,Colorado,00,268419875371,1184637800,20.9013918669234,2.56,0,205054,3076,9.5,0.1,109324,2339,5.1,0.1,24066,903,85258,2188,308064,3479,324196,4231,632260,4471,614939,4574,244795,2911,859734,4637,297227,3875,67155,2207,364382,4459,106845,2302,18720,1093,125565,2548,50594,1524,7135,660,57729,1661,2148994,5236,32459,1167,90064,2134,138727,2754,546890,2139,0.1,0.1,1.5,4.2,22.0191992569839,28.0392507092187
7,09,01779780,0400000US09,09,CT,Connecticut,00,12542497381,1815617293,285.036854415908,2.53,0,162773,2496,11.9,0.2,120277,2488,8.8,0.2,22367,897,97910,2227,225188,2508,223258,3289,448446,3695,399533,3798,113561,2360,513094,3848,178320,2776,23548,1182,201868,3017,57150,1593,4846,547,61996,1684,23123,1084,1942,307,25065,1127,1370746,3770,14865,1086,74844,1737,84647,1852,418422,1876,0.1,0.1,1.1,5.5,6.70657239991317,1.39667886755957
8,10,01779781,0400000US10,10,DE,Delaware,00,5046620081,1399291164,189.681011178935,2.57,0,40420,1144,11.1,0.3,21681,965,6,0.3,6223,565,15458,814,70555,1527,50952,1526,121507,1885,116475,1770,29255,1124,145730,1949,45618,1302,6490,667,52108,1463,14416,860,1871,289,16287,907,5493,467,516,188,6009,503,363322,1674,4560,560,18938,1046,24663,1181,119111,790,0.2,0.3,1.3,5.2,4.28507841416186,0.541590070211902
9,11,01702382,0400000US11,11,DC,District of Columbia,00,158340389,18687196,4374.6450566065,2.3,0,31407,906,11,0.3,102001,1486,35.9,0.5,17645,1010,84356,1416,61492,1314,65424,1576,126916,1912,30560,1062,14563,847,45123,1321,6495,438,1299,276,7794,518,1679,237,245,100,1924,257,496,126,132,78,628,148,284386,1503,3087,475,17972,866,19172,979,62410,647,0.2,0.3,1.1,6.3,0.645734240135623,0.0183735483200566
10,12,00294478,0400000US12,12,FL,Florida,00,138947364717,31362872853,150.428444919206,2.65,0,997955,8172,12.9,0.1,489240,5498,6.3,0.1,153952,3091,335288,4658,1770627,9630,1299949,8628,3070576,9204,2148411,16306,819666,7566,2968077,15050,719745,8660,173936,3225,893681,9241,204307,3337,39399,1654,243706,3724,61799,1968,9232,826,71031,2134,7736311,23882,88278,2513,400109,4260,510164,5569,2810902,9841,0.1,0.1,1.1,5.2,43.6490956624589,13.9348483900936
11,13,01705317,0400000US13,13,GA,Georgia,00,149484604230,4420380296,69.5981171679221,2.7,0,352372,4824,9.4,0.1,242468,3374,6.5,0.1,54060,1627,188408,3080,563450,6101,660693,5672,1224143,7742,1029602,9189,403301,5263,1432903,9732,488735,5937,96443,2564,585178,6467,171750,3070,24603,1356,196353,3356,70176,2065,7577,724,77753,2188,3758798,9973,46193,1991,260853,3546,198387,3628,990989,4021,0.1,0.1,1.2,6.9,20.697519950491,14.6684616011691
12,15,01779782,0400000US15,15,HI,Hawaii,00,16634006436,11777792811,85.4931736062243,3,0,48131,1263,10.5,0.3,37128,1155,8.1,0.2,10461,771,26667,1071,71871,1724,80117,1801,151988,2242,103582,2022,61374,1765,164956,2325,49678,1312,14407,837,64085,1556,22488,1013,4328,434,26816,1102,12297,646,2154,313,14451,718,459424,2081,4786,516,15667,818,27513,1036,170171,1318,0.1,0.2,1,3.4,14.6190104901806,1.44826328590201
13,16,01779783,0400000US16,16,ID,Idaho,00,214049897859,2391604238,8.02499798963476,2.68,0,65545,1635,10.4,0.3,24373,1102,3.9,0.2,7000,546,17373,1002,91656,2033,80862,2007,172518,2537,178956,2395,64127,1813,243083,2742,101296,2202,18653,949,119949,2398,40949,1391,5829,659,46778,1539,20859,1020,2448,312,23307,1067,630008,2522,8745,891,25589,1216,35900,1354,182467,1260,0.1,0.2,1.4,4.1,30.7882177579954,24.4564610023327
14,17,01779784,0400000US17,17,IL,Illinois,00,143779863817,6215723896,88.8207198210606,2.57,0,555494,5312,11.5,0.1,526441,4490,10.9,0.1,119342,2203,407099,4198,913450,6330,766064,6800,1679514,7722,1392277,9864,366548,4887,1758825,9200,541825,4937,79115,2201,620940,5405,172267,2827,18508,889,190775,2963,63554,1537,6085,528,69639,1625,4846134,10459,53937,1581,260021,3238,287761,3568,1373862,4508,0.1,0.1,1.1,5.4,21.4398903939551,15.4082106338098
15,18,00448508,0400000US18,18,IN,Indiana,00,92790048198,1537252652,71.8363998020175,2.52,0,286624,3989,11.2,0.2,165133,2480,6.4,0.1,48087,1250,117046,2366,424540,4607,398736,4011,823276,5259,774583,6379,209743,3077,984326,6461,352619,4233,51029,1536,403648,4503,121526,2063,12972,921,134498,2259,54827,1299,4711,512,59538,1396,2570419,7538,36982,1451,139712,3220,174069,2674,718140,3003,0.1,0.1,1.4,5.4,17.180574770371,9.87374889481573
16,19,01779785,0400000US19,19,IA,Iowa,00,144660467237,1084981626,21.7025982285574,2.4,0,151956,2317,12,0.2,73874,1426,5.8,0.1,19542,774,54332,1424,198435,2347,172711,2465,371146,2970,392350,3653,98264,2193,490614,4306,188854,2302,28407,1260,217261,2624,67999,1466,8901,697,76900,1623,32043,823,3635,417,35678,923,1265473,4009,17973,905,57047,1629,88197,1855,362498,1712,0.1,0.1,1.4,4.5,20.2465046324864,15.8572388323413
